epoch,max_epochs,loss,correct
10,100,33.30722229485857,30
20,100,31.257890942074074,33
30,100,29.488185538585153,36
40,100,27.772492725400742,36
50,100,26.144950523891307,37
60,100,24.6560035889457,39
70,100,23.188529096469328,41
80,100,21.75290451996187,41
90,100,20.374703328266335,41
100,100,19.065061632080724,44
